trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,157,0,13,.8,label,right,A,bird,hawk,2,drum,1,A,bird_hawk_2,drum_label_A
1,60,1,60,1.2,label,right,A,bird,hawk,1,bird,1,A,bird_hawk_1,bird_label_A
1,261,0,117,1.0,label,right,B,phone,rotary,2,motor,1,B,phone_rotary_2,motor_label_B
1,113,1,113,1.0,label,right,B,drum,bongo,2,drum,1,B,drum_bongo_2,drum_label_B
1,66,1,66,1.2,label,right,A,guitar,electric,1,guitar,1,A,guitar_electric_1,guitar_label_A
1,45,1,45,1.0,label,right,A,phone,cell,2,phone,1,A,phone_cell_2,phone_label_A
1,136,1,136,1.2,label,right,B,drum,bongo,1,drum,1,B,drum_bongo_1,drum_label_B
1,81,1,81,.8,label,left,B,phone,rotary,2,phone,1,B,phone_rotary_2,phone_label_B
1,38,1,38,1.0,label,right,A,dog,rott,1,dog,1,A,dog_rott_1,dog_label_A
1,31,1,31,1.0,label,left,A,guitar,electric,2,guitar,1,A,guitar_electric_2,guitar_label_A
1,195,0,51,1.2,label,left,A,dog,rott,2,bird,1,A,dog_rott_2,bird_label_A
1,58,1,58,1.2,label,left,A,motor,dirt,1,motor,1,A,motor_dirt_1,motor_label_A
1,53,1,53,1.2,label,left,A,drum,kit,2,drum,1,A,drum_kit_2,drum_label_A
1,258,0,114,1.0,label,right,B,guitar,acoustic,1,bird,1,B,guitar_acoustic_1,bird_label_B
1,10,1,10,.8,label,left,A,motor,dirt,1,motor,1,A,motor_dirt_1,motor_label_A
1,32,1,32,1.0,label,left,A,phone,cell,1,phone,1,A,phone_cell_1,phone_label_A
1,170,0,26,1.0,label,left,A,dog,rott,1,motor,1,A,dog_rott_1,motor_label_A
1,188,0,44,1.0,label,right,A,phone,cell,1,dog,1,A,phone_cell_1,dog_label_A
1,189,0,45,1.0,label,right,A,phone,cell,2,bird,1,A,phone_cell_2,bird_label_A
1,213,0,69,1.2,label,right,A,phone,cell,2,drum,1,A,phone_cell_2,drum_label_A
1,2,1,2,.8,label,left,A,dog,rott,1,dog,1,A,dog_rott_1,dog_label_A
1,207,0,63,1.2,label,right,A,dog,rott,2,phone,1,A,dog_rott_2,phone_label_A
1,153,0,9,.8,label,left,A,phone,cell,2,guitar,1,A,phone_cell_2,guitar_label_A
1,85,1,85,.8,label,right,B,bird,song,2,bird,1,B,bird_song_2,bird_label_B
